Source,Target,Weight
BitTorrent,SumoTorrent,119
AhaShare,PSX-Scene,1039
Pokebip,Tumblr,14447
Insanelyi,SumoTorrent,284
BlackHatWorld,Lifeboat,1027
LOTR,MPGH,15017
EpicGames,GeekedIn,1951
iDressup,xat,15684
Comcast,Onverse,130
COMELEC,SCDailyPhoneSpamList,847
Aternos,Teracod,100
MyVidster,Neopets,309
AhaShare,MinecraftPocketEditionForum,7
AhaShare,LinuxMint,252
QuantumBooter,Xbox-Scene,110
SprashivaiRu,mSpy,73
NextGenUpdate,Nival,2396
Dominos,PaddyPower,112
Boxee,WIIUISO,3946
CrackCommunity,Solomid,1155
Yandex,myRepoSpace,10
ArmyForceOnline,MoDaCo,404
126,Seedpeer,21
000webhost,HeroesOfNewerth,123720
Experian,QuantumBooter,92
MyVidster,Xbox-Scene,7
Gawker,MyVidster,44
MoDaCo,ThisHabboForum,244
Plex,Verified,10
BigMoneyJobs,Gamigo,22
BitTorrent,Lifeboat,50
WarInc,WildStar,20334
AhaShare,Lookbook,327
ThisHabboForum,WHMCS,165
KMRU,PokemonCreed,22
ArmyForceOnline,PixelFederation,128
Dropbox,iMesh,1150403
MajorGeeks,Malwarebytes,3183
AndroidForums,Plex,8929
Seedpeer,SprashivaiRu,52
AcneOrg,GameTuts,728
CheapAssGamer,MyVidster,26
Flashback,Trillian,893
NexusMods,Yahoo,4840
CheapAssGamer,ModernBusinessSolutions,15786
BattlefieldHeroes,Neopets,3
VBulletin,XSplit,7065
AcneOrg,R2Games,2465
Experian,LOTR,5246
Gamigo,Insanelyi,1290
CrackCommunity,mSpy,31
SumoTorrent,Tianya,553
Aternos,GeekedIn,940
ThisHabboForum,WildStar,144
Seedpeer,Teracod,228
PHPFreaks,QuantumBooter,42
Gamigo,SumoTorrent,4630
Rambler,Tianya,10
BitTorrent,PSX-Scene,181
126,BlackHatWorld,70
ArmyForceOnline,StarNet,77
Lastfm,PHPFreaks,18468
SCDailyPhoneSpamList,myRepoSpace,924
R2Games,Xbox-Scene,3140
PixelFederation,Trillian,243
Insanelyi,LizardSquad,56
Aternos,Rambler,304
Lookbook,Neopets,69833
Interpals,Verified,50
ClixSense,Vodafone,577
GTAGaming,PHPFreaks,990
Neopets,PS3Hax,9536
Rambler,SprashivaiRu,109144
QatarNationalBank,mSpy,92
Minefield,Nival,475
GTAGaming,MajorGeeks,400
BlueSnapRegpack,PixelFederation,1
Dominos,MuslimDirectory,21
BitTorrent,HeroesOfGaia,11
MySpace,myRepoSpace,21919
Duowan,iMesh,2494
MangaTraders,Onverse,1139
FoxyBingo,Pokebip,49
Plex,SumoTorrent,383
HeroesOfGaia,Lastfm,10505
BigMoneyJobs,Nihonomaru,17
Dropbox,SCDailyPhoneSpamList,376103
AndroidForums,Nival,511
DDO,iPmart,8476
Onverse,R2Games,68876
ArmyForceOnline,Win7Vista,161
PixelFederation,UnrealEngine,23
COMELEC,Forbes,206
Comcast,HackForums,39
Lifeboat,Win7Vista,387
TruckersMP,mSpy,10
PixelFederation,ServerPact,10
Leet,MinecraftPocketEditionForum,1169
AcneOrg,Xbox-Scene,2198
126,Neopets,2819
AcneOrg,Dropbox,41050
NetEase,Xbox-Scene,8789
LinuxMint,PixelFederation,5
17Media,CrackCommunity,38
AhaShare,ClixSense,3264
Onverse,Verified,24
HackForums,WarInc,2378
LOTR,Malwarebytes,1106
COMELEC,iMesh,7730
Duowan,Forbes,50
CannabisForum,QatarNationalBank,19
Sony,iDressup,63
Avast,SpecialKSpamList,4636
CivilOnline,Gamigo,533
17Media,Yahoo,149
BitTorrent,MinecraftWorldMap,22
GFAN,MPGH,7887
GamerzPlanet,NextGenUpdate,36141
BattlefieldHeroes,myRepoSpace,1
TRAI,Tianya,1
HeroesOfGaia,MPGH,3815
BTSec,Tianya,6129
SumoTorrent,Win7Vista,1303
WarInc,Xbox-Scene,1742
TRAI,Teracod,1
AndroidForums,Flashback,157
BigMoneyJobs,QuantumBooter,2
DDO,MoDaCo,5816
126,Lifeboat,379
Forbes,ThisHabboForum,152
Insanelyi,UnrealEngine,343
000webhost,MyVidster,89
BlackHatWorld,Flashback,127
HackForums,MailRu,144
Nihonomaru,PHPFreaks,6022
NexusMods,Sony,88
ClixSense,DDO,5911
ClixSense,MPGH,22528
Gamigo,WHMCS,625
EpicGames,Sony,20
MuslimDirectory,iDressup,103
ArmyForceOnline,Flashback,133
Gawker,LoungeBoard,84
